L1 Hawaiian_Text,Reference_Translation
"A loaa o Aukelenuiaiku, hoi mai la laua a hiki i ka hale kahi o ko laua makuakane e noho ana, lele mai la ko laua makuakane uwe, a me na mea a pau loa. O ka nui o na la o keia kaawale ana ewalu la. Mamua ae o ka loaa ana o Aukelenuiaiku, ua paa ka moku o na kaikuaana i ke kapili, a ua makaukau e holo, ua lana i loko o ke kai. Ma keia ola hou ana o Aukelenuiaiku, ua lohe ua kaikuaana huhu lokoino nei, ua hoi mai o Aukelenuiaiku, a nona keia makena e uwe ia mai nei. Nolaila, kena ae la ia e hoomakaukau ka holo, e kahu ke o, a e ee i luna o ka moku.","After Aukelenuiaiku was found he was brought home to their father who fell on his son and wept for joy, as did all the others, for he had been lost for about eight days. Before Aukelenuiaiku was found, the ship of the brothers was completed and preparations were made for departure, as it had been launched. When the oldest brother saw that Aukelenuiaiku was again back safe and well, and that the wailing that he had heard was because of the return of Aukelenuiaiku, he immediately gave orders that the final preparations be completed; that the food be cooked, and after that everybody was to go aboard."
"Mahope iho o ko Moikeha make ana, laweia aku la kona kupapau ma ka pali o Haena, a hiki i ka manawa a Kila i hoihoi ai i Tahiti. Ia manawa mahope iho, noho iho la o Kila ma ko Moikeha noho ana, e like me ka makemake o kona makuakane, a me kona mau makuahine, a me ka makuakane o na makuahine.","After the death of Moikeha, his dead body was taken to the cliffs of Haena where it was deposited until a convenient time for Kila to remove it to Tahiti. Soon after this Kila began to assume the reins of government and ruled in place of Moikeha, according to the wish of his late father, his mother and aunt, and his mother’s father."
"A lohe na makuahine o lakou i keia olelo, kanikau hele aku la o Hooipoikamalanai, e hoonaauaua ana ia laua iho me Hinauu. I aku la o Hooipoikamalanai ma i ka laua mau keiki: “Auhea la hoi na iwi o ko oukou makuakane?” I mai la kana mau keiki: “Ua lilo i ka moana, ia kahuli ana no o makou, lilo makou ia Kila kahi i aumeume ai, aole o makou manao ae i kela.” A mahope iho o keia manawa, kanikau hele aku la o Hinauu ma i ke aloha o Kila a puni o Kauai, a huipu aku la me na makaainana i ke kanikau.","When the mothers heard this account of the death of Kila, Hoopoikamalanai and her sister Hinauu wailed and expressed a desire to take their own lives, their grief for their son was so great. Hooipoikamalanai and her sister then inquired of their sons: “Where, then, are the bones of your father?” The sons replied: “We lost them in the ocean. When our canoe was overturned we all went to the rescue of Kila, and therefore the bones of our father were neglected and they disappeared.” After this Hinauu and her sister traveled around Kauai mourning for Kila, in which the common people also joined with them."
"A hala aku la na kaikuaana o Kila, noho iho la o Kila ia koena po, e noonoo ana i ka hana a kona mau kaikuaana. A kokoke i ka wanaao, a no ka loihi o kona ala ana ia po, nolaila, ua pauhiaia oia e ka hiamoe nui. A ia ia e hiamoe ana, ua hiki ae ka la, a mehana iki ae, ike ia mai la ua o Kila e hiamoe ana i kaha one. Hele mai na kamaaina a ike i keia keiki maikai e moe ana, ua pauhia i ka hiamoe. A nolaila, hoala ia ae la, me ka ninau iho o na kamaaina, i kona wahi i hele mai ai a me ke ano o kona hiki ana malaila. Alaila, hai aku la oia i ka moolelo e like me ka hana a kona mau kaikuaana. A no ia mea, hoihoi ia aku la e na kamaaina ma kauhale kamaaina.","After the brothers had gone, Kila remained the rest of the night in meditation, trying to comprehend the object of his brothers’ actions. Toward morning he fell into a deep sleep after sitting up most of the night. While he was asleep and the sun was rising higher and higher, he was seen by the people, who came to admire this handsome young man who was fast asleep on the sand. At last the people woke him up and asked him where he had come from and the circumstances of his arrival at this place. He then told them the whole history of his treatment by his brothers. He was then taken to the home of one of the men."
"Aka, lohe ae la na kaikuaana o Kila, aia ka ai ma Waipio, manao ae la ko lakou kupunakane, a me ko lakou makuahine e holo i ai i Waipio; aka, aole nae e hiki ia lakou ke ae e hele, no ka mea, ua hana hewa aku lakou ia Kila malaila, oia no ko lakou mea i kanalua ai, o hele auanei lakou, o ike mai o Kila ia lakou, nolaila pono ole. Aka no ka paipai nui o ko lakou makuahine i na keiki e holo, hoole loa aku na keiki. A no ka paakiki loa o na keiki ma ko lakou manao, nolaila, ninau pakahi aku la ko lakou mau makuahine i ka laua mau keiki, no ka makemake e holo i ai i Waipio. Aka ua hoole na mea a pau o na keiki ana; a ma kekahi manawa mahope mai, ninau pinepine aku no i na keiki; ekolu keiki i hoole, a hookahi mea i ae e hele i ka ai i Waipio, o Kaialea.","When Kila’s brothers heard that there was food at Waipio, their grandfather and mothers made up their minds to send the boys to Waipio for food; but none of the boys were willing to go, because it was at this place that they had abandoned Kila to his fate; so they were very reluctant about going, for fear that he might see them and there would be trouble. As often as their mothers urged them to go they as often refused, and finally they told their mothers that on no condition would they think of going. Upon meeting this persistent refusal on the part of their sons, the mothers determined to ask them one by one, to see if there was not a chance to persuade one of them to go, but every one of them refused. The mothers would not have no for an answer, and kept on urging the sons till finally one of the boys, Kaialea, consented to go to Waipio to get them some food."
"A o ko Kauai poe hoi, ua kali ia mai la o Kaialea, aole he hoi aku, nolaila, hoouna ia kekahi mau kanaka e Hooipoikamalanai ma e huli ia Kaialea. Ia huli ia ana a hiki i Hawaii ma Waipio. Ia manawa a lakou i hiki aku ai, ninau ia mai la lakou nei, ko Kauai poe, i ke kumu o ko lakou hiki ana i laila. Aka hai aku la lakou, “he huakai imi alii, e imi ana ia Kaialea.” A no kea mea, hai aku la na kamaaina: “Ua make o Kaialea, aia maloko o ka heiau, ua oleloia nae e kau ana i ka lele, aka, aole nae i ikeia ke kau ana i ka lele, ua make malu paha, ua kiola ia paha maloko o ka lua pau.”","In the meantime the people on Kauai awaited Kaialea’s return. But after a long wait without hearing anything of him, Hooipoikamalanai and her sister sent a party of men to come and institute a search for him. On this voyage, the party arrived at Waipio, Hawaii. Upon their arrival they were asked why they had come, so they replied that they were in search of a chief, Kaialea by name. On learning the mission of the strangers, the Waipio people informed them that he had been condemned to be put to death. They further told the strangers that Kaialea was now in confinement in the temple, and it had been reported that he was to be sacrificed, but so far no one had seen him sacrificed, but it was possible that he had been put to death secretly. On the other hand he might have been thrown in a deep pit."
"A o na kanaka hoi i hoi malu ai i ka po, na hoewaa i holo pu mai me Kaialea, a me kekahi kanaka i hoouna hopeia mai e Hooipoikamalanai, hoi aku la lakou a hiki i Kauai; ninau mai la o Hooipoikamalanai: “Auhea hoi ko oukou nui?” I aku la lakou: “I mai oukou-e, he pono keia hoi ana mai nei, aole paha he pono. O Kaialea, aia ke paa la i loko o Pakaalana, a o ka poe hou ae nei hoi, ke paa pu la lakou, aole i ikeia ko lakou ola; ina no i make la, make mai la no. Na ke akua ko lakou ola, ke ola mai o nei mau la.”","In the meantime those men who had returned secretly to Kauai, Kaialea’s paddlers and the man who had charge of the canoe, arrived there and were questioned by Hooipoikamalanai: “Where are the rest of you?” They replied: “Don’t think that our return means well; no, there is nothing to rejoice over. Kaialea is in confinement in the temple of Pakaalana, as well as some of the people that came later. They are all in confinement. We cannot speak of their fate. If they have been put to death, then they are dead by this time. If they are still living, then they live through the mercy of God.”"
"He koa kaulana o Piimaiwaa, ma Hawaii a puni, a ma Maui no hoi, no kona koa loa, a me kona makau ole, no kona aa e paio me na enemi e ku ana i mua ona; nolaila, ua punahele ia i kona makuakane alii hanai o Umi. Ma keia kakau ana e ike ai kakou i kona koa lua ole, a me kona makau ole i na enemi, alaila, e pono kakou e olelo he oiaio kona mau olelo hoike.","Piimaiwaa was the most famous of the soldiers of the whole of Hawaii and even of Maui, for his braveness and strength, and it was said that he never failed to go up to meet his enemy. Because of this he was the favorite of the adopted sons of Umi. We will here see that he was indeed the bravest of the brave and fearless of the enemy, so that we too without doubt will say that such is the fact."
"Nana hou ae la no ua o Lonoikamakahiki nei, e kau ana ka ihe kaua, ninau ae la: “Heaha kela?” I aku na kahu: “He mea luku kanaka no, he mea luku aku i na kanaka ke kaua mai, ina i kahi e, e hou aku ai, ku aku la no ke kanaka. A ina he akamai mai kekahi aoao i ka pale ana o ka ihe, alaila, aole e ku.” I aku o Lonoikamakahiki: “Ae, he mea waiwai ia, aka, o ka mea akamai i ka alo ihe ke kanaka waiwai; nolaila, he hana waiwai ia a kuu makuakane, nolaila, ina eia no kuu piko ke waiho nei, alaila, e nikii pu i kuu piko me ka pua ihe a kuu makuakane.”","Again Lonoikamakahiki looked up and saw a bundle of war spears; he then asked: “What are those things?” The retainers replied: “They are also used to kill people with. In times of war when men are fighting each other these spears are used at close quarters by thrusting, and at long range by throwing, at the enemy. These spears in the hands of strong men can be thrown for some distance. If the person on the other side is of great skill he could ward off one or more spears at a time, and in that way avoid being hit.” Lonoikamakahiki then said: “Yes, those things are of some value; but the person who can skilfully ward them off is of more importance. These things of my father’s are of some value; therefore, if my navel string is still in your keeping, then tie it together with my father’s bundle of war spears.”"
"A lohe o Lonoikamakahiki i keia olelo a ke kahu, he mea puiwa loa ia nona, no kona lohe ana i ka olelo, he hiki ke ike i ke alii waiwai, ame ka waiwai ole, a nolaila, olelo aku la oia i kona mau kahu, me ka i aku: “A, e ike mai no auanei kela elemakule la ia’u?” I aku na kahuna: “Ae, aole oe e nalo, a me kau hana mahope aku.” I hou aku la o Lonoikamakahiki i na kahu: “He kanaka kapu anei kela, aole e kamailio ia aku e kamalii? O na kanaka makua wale no anei?” I aku la na kahu: “Nau e kamailio kela elemakule, i malamaia hoi na kakaolelo ame na kahuna no oukou no na ’lii.”","When Lonoikamakahiki heard these remarks from one of his retainers he was greatly impressed that such a thing could be possible, that is, that the man could tell whether a chief will become rich or poor. He therefore asked of his attendants: “And will that old man be able to recognize me?” The attendants: “Yes, he will not overlook you12 and also your doings in the future.” Lonoikamakahiki again asked them: “Is there any restriction placed on that man, that is, something that will prevent young people from addressing him? And are the grown up people the only ones that are allowed to speak to him?” The attendants replied: “You are indeed privileged to address that old man. Counselors and priests are retained and cared for to be used by the chiefs.”"
